Name,Plan Name,Day,Workouts,Included Movements
Weight Loss 2022 Day 1,Weight Loss 2022,1,10M WEIGHT LOSS（102 free）,
Weight Loss 2022 Day 2,Weight Loss 2022,2,Workout 10 Calorie Burner （CALORIE BURNER 1）,
Weight Loss 2022 Day 3,Weight Loss 2022,3,Workout 23 30-Day Weight Loss （SWEAT AT HOME）,
Weight Loss 2022 Day 4,Weight Loss 2022,4,SUPER HIIT,
Weight Loss 2022 Day 5,Weight Loss 2022,5,PUMP U UP,
Weight Loss 2022 Day 6,Weight Loss 2022,6,Workout 27 30-Day Weight Loss（BURN THAT FAT）,
Weight Loss 2022 Day 7,Weight Loss 2022,7,HIIT + CARDIO,
Weight Loss 2022 Day 8,Weight Loss 2022,8,Workout 8 Calorie Burner (SHAPE YOUR BODY),
Weight Loss 2022 Day 9,Weight Loss 2022,9,BURN TROOP,
Weight Loss 2022 Day 10,Weight Loss 2022,10,Workout 15 30-Day Weight Loss (FULL BODY SHRED FOR PLAN),
Weight Loss 2022 Day 11,Weight Loss 2022,11,Workout 6 Calorie Burner (CALORIE BURNER 2),
Weight Loss 2022 Day 12,Weight Loss 2022,12,Workout 8 30-Day Weight Loss (WEIGHT LOSS HIIT),
Weight Loss 2022 Day 13,Weight Loss 2022,13,METABOLISM BOOSTER,
Weight Loss 2022 Day 14,Weight Loss 2022,14,FULL BODY SWEAT（102 free）,
"""Summer Sculpt（From 106 plan）
NEW YEAR SCULPT"" Day ","""Summer Sculpt（From 106 plan）
NEW YEAR SCULPT""",,,
30 DAY SIX PACK （From 105 plan） Day ,30 DAY SIX PACK （From 105 plan）,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
 Day ,,,,
30 DAY SIX PACK  Day 1,30 DAY SIX PACK ,1,STARTER ABS,
30 DAY SIX PACK  Day 2,30 DAY SIX PACK ,2,BEGINNER CORE（Move）,
30 DAY SIX PACK  Day 3,30 DAY SIX PACK ,3,WASHBOARD ABS（Move）,
30 DAY SIX PACK  Day 4,30 DAY SIX PACK ,4,AB SHRED (MOVE),
30 DAY SIX PACK  Day 5,30 DAY SIX PACK ,5,REST DAY,
30 DAY SIX PACK  Day 6,30 DAY SIX PACK ,6,CARDIO BLASTER,
30 DAY SIX PACK  Day 7,30 DAY SIX PACK ,7,Workout 7 No Plank Abs (move & add)(NO PLANK ABS),
30 DAY SIX PACK  Day 8,30 DAY SIX PACK ,8,Workout 4 Abs And Core (move & add)(AB BLASTER),
30 DAY SIX PACK  Day 9,30 DAY SIX PACK ,9,Workout 5 Abs And Core (move & add)(13M SWEAT),
30 DAY SIX PACK  Day 10,30 DAY SIX PACK ,10,Workout 7 Abs And Core (move & add)(13M WEIGHT LOSS),
30 DAY SIX PACK  Day 11,30 DAY SIX PACK ,11,Workout 8 Abs And Core(move&ADD)(CORE TRAINER),
30 DAY SIX PACK  Day 12,30 DAY SIX PACK ,12,Workout 9 Abs And Core(move & add)(DREAM ABS),
30 DAY SIX PACK  Day 13,30 DAY SIX PACK ,13,CARDIO BARRE,
30 DAY SIX PACK  Day 14,30 DAY SIX PACK ,14,HIIT + CARDIO,
30 DAY SIX PACK  Day 15,30 DAY SIX PACK ,15,REST DAY,
30 DAY SIX PACK  Day 16,30 DAY SIX PACK ,16,Workout 7 6 WEEK 6 PACK(BODY ACTIVATION),
30 DAY SIX PACK  Day 17,30 DAY SIX PACK ,17,Workout 9 6 WEEK 6 PACK(MIRACLE ABS),
30 DAY SIX PACK  Day 18,30 DAY SIX PACK ,18,Workout 8 6 WEEK 6 PACK(TONE & SHAPE),
